businessdate,namedpnl,namedpnlid,businessarea,bofc_completedon,fobo_completedon,bofc_status,fobo_status,vpsignoffutc,vpsignoffby,vpsignoffcount,vpsignoff_bofc_hours,sla_bofc,feed_source,feed_available_at,feed_sla,feed_on_time,issue_type,namedpnlname,masterbookid,masterbookname,feedname,region,syey_id,msbk_id,avg_deltimepc,max_deltimepc,min_deltimepc,avg_completedon,max_completedon,min_completedon,duration_avg,duration_max,duration_min,delay_flag
2026-01-05,Alpha Conduit Revenue,PNL001,Rates Trading,2026-01-05 06:15:00,2026-01-05 07:00:00,Complete,Complete,2026-01-05 09:30:00,John Smith,1,5.68,10:00:00,Bloomberg,2026-01-05 04:00:00,05:30:00,Y,sign_off_delayed,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,4:57:00 PM,5:27:00 PM,3:33:00 PM,7:30:00 PM,8:00:00 PM,6:13:00 PM,6.08,7.02,5.66,Y
2026-01-05,Beta Trading Book,PNL002,Credit Trading,2026-01-05 07:30:00,2026-01-05 08:30:00,Complete,Complete,2026-01-05 11:00:00,Sarah Lee,1,4.08,11:00:00,Murex,2026-01-05 04:34:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:44:00 PM,3:12:00 PM,1:23:00 PM,4:38:00 PM,6:00:00 PM,3:23:00 PM,3.92,4.97,2.01,N
2026-01-05,Gamma Advisory Fund,PNL003,Equities,2026-01-05 08:00:00,2026-01-05 09:15:00,Complete,Complete,2026-01-05 12:00:00,Mike Chen,1,7.17,10:30:00,Calypso,2026-01-05 04:05:00,05:00:00,Y,sign_off_delayed,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,1:41:00 PM,2:07:00 PM,12:51:00 PM,4:26:00 PM,5:38:00 PM,4:02:00 PM,4.81,5.82,3.85,N
2026-01-05,Delta CMBS Portfolio,PNL004,Securitized Products,2026-01-05 05:30:00,2026-01-05 06:00:00,Complete,Complete,2026-01-05 07:30:00,Rachel Kim,1,6.94,11:30:00,Intex,2026-01-05 06:13:00,06:30:00,Y,sign_off_delayed,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,4:01:00 PM,4:40:00 PM,3:29:00 PM,6:02:00 PM,6:25:00 PM,5:25:00 PM,8.09,9.08,7.15,Y
2026-01-05,Epsilon RMBS Trust,PNL005,Securitized Products,2026-01-05 09:00:00,2026-01-05 10:15:00,Complete,Complete,2026-01-05 14:00:00,David Park,1,2.22,11:30:00,Intex,2026-01-05 08:28:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,4:08:00 PM,5:02:00 PM,3:01:00 PM,5:45:00 PM,6:47:00 PM,4:59:00 PM,3.09,4.03,1.72,N
2026-01-12,Alpha Conduit Revenue,PNL001,Rates Trading,2026-01-12 06:30:00,2026-01-12 07:15:00,Complete,Complete,2026-01-12 09:45:00,John Smith,1,2.56,10:00:00,Reuters,2026-01-12 04:55:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:42:00 PM,4:10:00 PM,2:08:00 PM,5:07:00 PM,5:22:00 PM,3:52:00 PM,3.55,4.93,1.86,N
2026-01-12,Beta Trading Book,PNL002,Credit Trading,2026-01-12 07:00:00,2026-01-12 08:00:00,Complete,Complete,2026-01-12 10:30:00,Sarah Lee,1,3.52,11:00:00,Murex,2026-01-12 04:36:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,2:33:00 PM,3:44:00 PM,1:08:00 PM,4:11:00 PM,5:30:00 PM,3:37:00 PM,4.44,5.61,4,N
2026-01-12,Gamma Advisory Fund,PNL003,Equities,2026-01-12 08:30:00,2026-01-12 09:45:00,Complete,Pending,,Mike Chen,0,3.9,10:30:00,Calypso,2026-01-12 04:13:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,3:23:00 PM,3:41:00 PM,2:19:00 PM,6:01:00 PM,7:11:00 PM,5:30:00 PM,4.24,5.58,2.67,N
2026-01-12,Delta CMBS Portfolio,PNL004,Securitized Products,2026-01-12 06:00:00,2026-01-12 06:45:00,Complete,Complete,2026-01-12 08:30:00,Rachel Kim,1,3.11,11:30:00,Intex,2026-01-12 05:24:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,3:05:00 PM,4:13:00 PM,1:39:00 PM,4:29:00 PM,4:52:00 PM,3:20:00 PM,2.17,3.96,1.07,N
2026-01-12,Epsilon RMBS Trust,PNL005,Securitized Products,2026-01-12 09:15:00,2026-01-12 10:30:00,Complete,Complete,2026-01-12 13:30:00,David Park,1,2.89,11:30:00,Intex,2026-01-12 05:35:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,4:12:00 PM,5:23:00 PM,2:45:00 PM,5:39:00 PM,6:41:00 PM,4:21:00 PM,2.92,4.11,1.8,N
2026-01-19,Alpha Conduit Revenue,PNL001,Rates Trading,2026-01-19 06:00:00,2026-01-19 06:45:00,Complete,Complete,2026-01-19 08:30:00,John Smith,1,1.79,10:00:00,Bloomberg,2026-01-19 05:10:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,2:44:00 PM,3:15:00 PM,1:40:00 PM,3:58:00 PM,5:18:00 PM,3:35:00 PM,2.83,4.01,2.05,N
2026-01-19,Beta Trading Book,PNL002,Credit Trading,2026-01-19 07:15:00,2026-01-19 08:00:00,Complete,Complete,2026-01-19 10:15:00,Sarah Lee,1,9.39,11:00:00,Murex,2026-01-19 07:51:00,06:00:00,N,critical,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,2:38:00 PM,2:59:00 PM,1:31:00 PM,3:56:00 PM,4:18:00 PM,3:20:00 PM,7.5,9.68,6.91,Y
2026-01-19,Gamma Advisory Fund,PNL003,Equities,2026-01-19 08:15:00,2026-01-19 09:30:00,Complete,Complete,2026-01-19 12:00:00,Mike Chen,1,2.14,10:30:00,Fidessa,2026-01-19 04:31:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,2:36:00 PM,3:14:00 PM,1:23:00 PM,4:25:00 PM,5:27:00 PM,3:59:00 PM,4.51,5.16,4.08,N
2026-01-19,Delta CMBS Portfolio,PNL004,Securitized Products,2026-01-19 05:45:00,2026-01-19 06:15:00,Complete,Complete,2026-01-19 07:45:00,Rachel Kim,1,7.52,11:30:00,Bloomberg,2026-01-19 07:06:00,06:30:00,N,critical,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,2:51:00 PM,3:54:00 PM,2:04:00 PM,5:19:00 PM,5:49:00 PM,4:30:00 PM,8.22,10.44,6.48,Y
2026-01-19,Epsilon RMBS Trust,PNL005,Securitized Products,2026-01-19 09:30:00,2026-01-19 10:45:00,Complete,Complete,2026-01-19 14:30:00,David Park,2,2.36,11:30:00,Bloomberg,2026-01-19 05:58:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Bloomberg B-PIPE,EMEA,SYEY-10005,BK-SP-002,3:44:00 PM,4:02:00 PM,2:51:00 PM,6:24:00 PM,7:31:00 PM,5:29:00 PM,3.52,4.59,2.53,N
2026-02-02,Alpha Conduit Revenue,PNL001,Rates Trading,2026-02-02 06:30:00,2026-02-02 07:15:00,Complete,Complete,2026-02-02 09:45:00,John Smith,1,2.15,10:00:00,Bloomberg,2026-02-02 04:37:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,3:22:00 PM,4:38:00 PM,3:05:00 PM,4:53:00 PM,5:53:00 PM,3:43:00 PM,4.01,5.39,3.34,N
2026-02-02,Beta Trading Book,PNL002,Credit Trading,2026-02-02 07:00:00,2026-02-02 08:00:00,Complete,Complete,2026-02-02 10:30:00,Sarah Lee,1,5.65,11:00:00,Bloomberg,2026-02-02 05:39:00,06:00:00,Y,sign_off_delayed,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,4:32:00 PM,5:54:00 PM,3:45:00 PM,7:04:00 PM,7:43:00 PM,5:56:00 PM,7.38,9.43,5.39,Y
2026-02-02,Gamma Advisory Fund,PNL003,Equities,2026-02-02 08:00:00,2026-02-02 09:00:00,Complete,Complete,2026-02-02 11:30:00,Mike Chen,1,2.93,10:30:00,Calypso,2026-02-02 04:44:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,4:59:00 PM,5:39:00 PM,3:57:00 PM,7:30:00 PM,8:00:00 PM,6:11:00 PM,1.65,3.49,0.61,N
2026-02-02,Delta CMBS Portfolio,PNL004,Securitized Products,2026-02-02 05:30:00,2026-02-02 06:00:00,Complete,Complete,2026-02-02 07:30:00,Rachel Kim,1,1.74,11:30:00,Intex,2026-02-02 06:05:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,2:52:00 PM,3:52:00 PM,1:43:00 PM,4:44:00 PM,5:06:00 PM,4:12:00 PM,3.32,3.99,1.4,N
2026-02-02,Epsilon RMBS Trust,PNL005,Securitized Products,2026-02-02 09:00:00,2026-02-02 10:00:00,Complete,Complete,2026-02-02 13:00:00,David Park,1,3.53,11:30:00,Intex,2026-02-02 05:08:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,1:02:00 PM,1:36:00 PM,11:52:00 AM,2:09:00 PM,3:16:00 PM,2:00:00 PM,4.42,6.24,3.88,N
2026-02-09,Alpha Conduit Revenue,PNL001,Rates Trading,2026-02-09 06:15:00,2026-02-09 07:00:00,Complete,Complete,2026-02-09 09:00:00,John Smith,1,2.24,10:00:00,Bloomberg,2026-02-09 05:12:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,3:28:00 PM,3:48:00 PM,2:14:00 PM,6:21:00 PM,7:20:00 PM,4:52:00 PM,3.29,5.24,2.26,N
2026-02-09,Beta Trading Book,PNL002,Credit Trading,2026-02-09 07:30:00,2026-02-09 08:15:00,Complete,Complete,2026-02-09 10:45:00,Sarah Lee,1,7.14,11:00:00,Bloomberg,2026-02-09 05:23:00,06:00:00,Y,sign_off_delayed,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,4:49:00 PM,5:09:00 PM,4:21:00 PM,6:53:00 PM,8:00:00 PM,5:29:00 PM,2.62,5.04,1.75,N
2026-02-09,Gamma Advisory Fund,PNL003,Equities,2026-02-09 08:15:00,2026-02-09 09:30:00,Complete,Complete,2026-02-09 12:00:00,Mike Chen,1,8.68,10:30:00,Fidessa,2026-02-09 05:41:00,05:00:00,N,critical,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,1:06:00 PM,1:29:00 PM,12:49:00 PM,2:08:00 PM,3:36:00 PM,2:00:00 PM,6.15,8.58,4.81,Y
2026-02-09,Delta CMBS Portfolio,PNL004,Securitized Products,2026-02-09 06:00:00,2026-02-09 06:30:00,Complete,Complete,2026-02-09 08:00:00,Rachel Kim,1,1.89,11:30:00,Bloomberg,2026-02-09 05:50:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,2:00:00 PM,3:23:00 PM,12:59:00 PM,3:32:00 PM,4:17:00 PM,2:16:00 PM,4.46,5.05,4.03,N
2026-02-09,Epsilon RMBS Trust,PNL005,Securitized Products,2026-02-09 09:30:00,2026-02-09 10:45:00,Complete,Complete,2026-02-09 14:00:00,David Park,1,1.53,11:30:00,Intex,2026-02-09 05:09:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,2:54:00 PM,3:33:00 PM,2:13:00 PM,3:56:00 PM,4:18:00 PM,3:37:00 PM,4.15,6.64,3.64,N
2026-02-16,Alpha Conduit Revenue,PNL001,Rates Trading,2026-02-16 06:45:00,2026-02-16 07:30:00,Complete,Complete,2026-02-16 10:00:00,John Smith,1,3.02,10:00:00,Bloomberg,2026-02-16 04:27:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,3:55:00 PM,4:51:00 PM,3:14:00 PM,5:07:00 PM,6:16:00 PM,4:27:00 PM,1.69,3.78,1.38,N
2026-02-16,Beta Trading Book,PNL002,Credit Trading,2026-02-16 07:00:00,,Complete,Failed,,Sarah Lee,0,9.52,11:00:00,Bloomberg,2026-02-16 06:23:00,06:00:00,N,critical,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,2:11:00 PM,3:03:00 PM,1:49:00 PM,3:32:00 PM,3:53:00 PM,2:27:00 PM,8.25,9.68,7.15,Y
2026-02-16,Gamma Advisory Fund,PNL003,Equities,2026-02-16 08:30:00,2026-02-16 09:45:00,Complete,Complete,2026-02-16 12:30:00,Mike Chen,2,4.0,10:30:00,Fidessa,2026-02-16 04:26:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,2:13:00 PM,2:48:00 PM,1:49:00 PM,4:07:00 PM,4:33:00 PM,2:49:00 PM,2.95,4.55,1.9,N
2026-02-16,Delta CMBS Portfolio,PNL004,Securitized Products,2026-02-16 05:45:00,2026-02-16 06:15:00,Complete,Complete,2026-02-16 07:45:00,Rachel Kim,1,6.82,11:30:00,Bloomberg,2026-02-16 06:23:00,06:30:00,Y,sign_off_delayed,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,3:09:00 PM,3:46:00 PM,2:24:00 PM,5:56:00 PM,6:38:00 PM,5:34:00 PM,7.21,8.58,5.61,Y
2026-02-16,Epsilon RMBS Trust,PNL005,Securitized Products,2026-02-16 09:15:00,2026-02-16 10:30:00,Complete,Complete,2026-02-16 13:45:00,David Park,1,9.76,11:30:00,Intex,2026-02-16 06:58:00,06:30:00,N,critical,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,1:36:00 PM,2:41:00 PM,1:18:00 PM,4:09:00 PM,5:06:00 PM,3:27:00 PM,3.71,5.46,2.58,N
2026-03-02,Alpha Conduit Revenue,PNL001,Rates Trading,2026-03-02 06:00:00,2026-03-02 06:45:00,Complete,Complete,2026-03-02 09:00:00,John Smith,1,3.73,10:00:00,Bloomberg,2026-03-02 04:13:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,3:51:00 PM,4:06:00 PM,3:15:00 PM,5:11:00 PM,6:03:00 PM,4:18:00 PM,2.55,4.18,2.13,N
2026-03-02,Beta Trading Book,PNL002,Credit Trading,2026-03-02 07:15:00,2026-03-02 08:00:00,Complete,Complete,2026-03-02 10:30:00,Sarah Lee,1,2.13,11:00:00,Bloomberg,2026-03-02 05:47:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,3:07:00 PM,3:58:00 PM,2:17:00 PM,5:46:00 PM,6:17:00 PM,4:24:00 PM,3.29,4.15,2.66,N
2026-03-02,Gamma Advisory Fund,PNL003,Equities,2026-03-02 08:00:00,2026-03-02 09:15:00,Complete,Complete,2026-03-02 11:45:00,Mike Chen,1,4.06,10:30:00,Fidessa,2026-03-02 04:51:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,4:13:00 PM,5:38:00 PM,3:35:00 PM,6:32:00 PM,7:20:00 PM,5:17:00 PM,1.75,3.01,0.59,N
2026-03-02,Delta CMBS Portfolio,PNL004,Securitized Products,2026-03-02 05:30:00,2026-03-02 06:00:00,Complete,Complete,2026-03-02 07:30:00,Rachel Kim,1,1.78,11:30:00,Bloomberg,2026-03-02 05:06:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,3:38:00 PM,5:07:00 PM,3:14:00 PM,6:16:00 PM,6:54:00 PM,5:34:00 PM,3.89,5.24,3.13,N
2026-03-02,Epsilon RMBS Trust,PNL005,Securitized Products,2026-03-02 09:00:00,2026-03-02 10:15:00,Complete,Complete,2026-03-02 14:00:00,David Park,1,1.01,11:30:00,Intex,2026-03-02 06:50:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,3:28:00 PM,4:47:00 PM,2:47:00 PM,4:49:00 PM,5:07:00 PM,4:10:00 PM,3.29,4.2,1.8,N
2026-03-09,Alpha Conduit Revenue,PNL001,Rates Trading,2026-03-09 06:30:00,2026-03-09 07:15:00,Complete,Complete,2026-03-09 09:45:00,John Smith,1,5.9,10:00:00,Reuters,2026-03-09 04:33:00,05:30:00,Y,sign_off_delayed,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,3:04:00 PM,4:08:00 PM,2:23:00 PM,4:16:00 PM,4:37:00 PM,3:25:00 PM,4.67,5.55,3.28,N
2026-03-09,Beta Trading Book,PNL002,Credit Trading,2026-03-09 07:00:00,2026-03-09 08:15:00,Complete,Complete,2026-03-09 10:45:00,Sarah Lee,1,6.9,11:00:00,Murex,2026-03-09 05:24:00,06:00:00,Y,sign_off_delayed,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:47:00 PM,3:14:00 PM,1:17:00 PM,3:11:00 PM,4:35:00 PM,2:51:00 PM,2.7,4.13,0.71,N
2026-03-09,Gamma Advisory Fund,PNL003,Equities,2026-03-09 08:15:00,2026-03-09 09:30:00,Complete,Complete,2026-03-09 12:00:00,Mike Chen,1,4.21,10:30:00,Calypso,2026-03-09 04:58:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,4:03:00 PM,4:56:00 PM,3:44:00 PM,5:43:00 PM,6:45:00 PM,5:17:00 PM,4.63,5.32,3.01,N
2026-03-09,Delta CMBS Portfolio,PNL004,Securitized Products,2026-03-09 06:00:00,2026-03-09 06:30:00,Complete,Complete,2026-03-09 08:15:00,Rachel Kim,1,2.66,11:30:00,Bloomberg,2026-03-09 07:59:00,06:30:00,N,feed_delayed_recovered,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,4:34:00 PM,5:21:00 PM,3:23:00 PM,7:16:00 PM,7:37:00 PM,5:56:00 PM,2.56,4.42,1.15,N
2026-03-09,Epsilon RMBS Trust,PNL005,Securitized Products,2026-03-09 09:30:00,2026-03-09 10:45:00,Complete,Complete,2026-03-09 14:30:00,David Park,2,2.59,11:30:00,Intex,2026-03-09 05:39:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,4:02:00 PM,5:32:00 PM,3:16:00 PM,7:01:00 PM,7:46:00 PM,6:00:00 PM,2.27,2.81,1.87,N
2026-03-16,Alpha Conduit Revenue,PNL001,Rates Trading,2026-03-16 06:15:00,2026-03-16 07:00:00,Complete,Complete,2026-03-16 09:15:00,John Smith,1,8.73,10:00:00,Bloomberg,2026-03-16 06:11:00,05:30:00,N,critical,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,1:03:00 PM,1:24:00 PM,11:37:00 AM,2:41:00 PM,4:06:00 PM,2:00:00 PM,5.85,6.52,4.94,Y
2026-03-16,Beta Trading Book,PNL002,Credit Trading,2026-03-16 07:30:00,2026-03-16 08:30:00,Complete,Complete,2026-03-16 11:00:00,Sarah Lee,1,4.15,11:00:00,Bloomberg,2026-03-16 05:41:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,3:28:00 PM,4:12:00 PM,2:10:00 PM,4:46:00 PM,5:02:00 PM,3:57:00 PM,2.11,3.82,1.57,N
2026-03-16,Gamma Advisory Fund,PNL003,Equities,2026-03-16 08:00:00,2026-03-16 09:00:00,Complete,Complete,2026-03-16 11:30:00,Mike Chen,1,6.62,10:30:00,Calypso,2026-03-16 06:50:00,05:00:00,N,critical,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,1:58:00 PM,2:26:00 PM,1:06:00 PM,4:10:00 PM,4:38:00 PM,3:20:00 PM,6.19,7.57,5.47,Y
2026-03-16,Delta CMBS Portfolio,PNL004,Securitized Products,2026-03-16 05:45:00,2026-03-16 06:15:00,Complete,Complete,2026-03-16 07:45:00,Rachel Kim,1,9.24,11:30:00,Bloomberg,2026-03-16 08:27:00,06:30:00,N,critical,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,1:35:00 PM,2:51:00 PM,12:56:00 PM,4:25:00 PM,5:30:00 PM,3:38:00 PM,5.8,6.38,5.08,Y
2026-03-16,Epsilon RMBS Trust,PNL005,Securitized Products,2026-03-16 09:00:00,2026-03-16 10:00:00,Complete,Complete,2026-03-16 13:30:00,David Park,1,3.85,11:30:00,Bloomberg,2026-03-16 05:42:00,06:30:00,Y,green,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Bloomberg B-PIPE,EMEA,SYEY-10005,BK-SP-002,4:21:00 PM,4:48:00 PM,4:00:00 PM,6:28:00 PM,7:47:00 PM,6:12:00 PM,3.94,5.25,3.38,N
2026-03-14,Alpha Conduit Revenue,PNL001,Rates Trading,2026-03-14 10:00:00,2026-03-14 11:00:00,Complete,Complete,2026-03-14 15:00:00,John Smith,1,3.43,10:00:00,Reuters,2026-03-14 07:19:00,05:30:00,N,feed_delayed_recovered,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,1:58:00 PM,2:14:00 PM,12:37:00 PM,3:24:00 PM,3:43:00 PM,2:47:00 PM,1.64,2.4,1.19,N
2026-03-15,Beta Trading Book,PNL002,Credit Trading,2026-03-15 11:00:00,2026-03-15 12:00:00,Complete,Complete,2026-03-15 16:00:00,Sarah Lee,1,1.82,11:00:00,Murex,2026-03-15 05:59:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,2:52:00 PM,3:14:00 PM,2:20:00 PM,3:53:00 PM,4:25:00 PM,2:49:00 PM,3.79,4.37,2.31,N
2026-03-15,Gamma Advisory Fund,PNL003,Equities,2026-03-15 09:30:00,2026-03-15 10:30:00,Complete,Complete,2026-03-15 14:00:00,Mike Chen,1,6.8,10:30:00,Fidessa,2026-03-15 05:43:00,05:00:00,N,critical,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,3:59:00 PM,5:26:00 PM,3:07:00 PM,5:45:00 PM,6:42:00 PM,5:20:00 PM,5.91,8.06,4.68,Y
